,Race ID,Driver ID,avg pit time
230,851.0,808.0,23172.0
231,851.0,22.0,24514.4
232,851.0,18.0,20965.666666666668
233,851.0,814.0,21332.666666666668
234,851.0,813.0,20770.0
235,851.0,2.0,23402.5
236,851.0,10.0,21254.666666666668
237,851.0,816.0,29643.0
238,851.0,1.0,19866.666666666668
239,851.0,20.0,20321.666666666668
240,851.0,4.0,21539.0
241,851.0,3.0,21128.25
242,851.0,155.0,22611.666666666668
243,851.0,67.0,21389.666666666668
244,851.0,5.0,21997.6
245,851.0,16.0,21447.5
246,851.0,815.0,19225.75
247,851.0,24.0,23888.2
248,851.0,30.0,21009.5
249,851.0,153.0,22543.666666666668
250,851.0,15.0,23118.0
251,851.0,817.0,22686.0
252,852.0,10.0,23732.75
253,852.0,811.0,21839.666666666668
254,852.0,5.0,24284.666666666668
255,852.0,17.0,20981.0
256,852.0,18.0,23147.333333333332
257,852.0,30.0,20566.0
258,852.0,20.0,21031.666666666668
259,852.0,815.0,21354.666666666668
260,852.0,4.0,21118.5
261,852.0,13.0,21869.333333333332
262,852.0,1.0,21895.0
263,852.0,3.0,22130.5
264,852.0,24.0,26362.5
265,852.0,808.0,21687.0
266,852.0,813.0,21862.0
267,852.0,16.0,21878.0
268,852.0,22.0,30349.666666666668
269,852.0,817.0,23780.0
270,852.0,15.0,21821.5
271,852.0,816.0,22526.5
272,852.0,155.0,22715.0
273,852.0,814.0,21342.0
274,853.0,155.0,25244.5
275,853.0,22.0,26285.5
276,853.0,811.0,22650.666666666668
277,853.0,817.0,517747.5
278,853.0,15.0,26905.5
279,853.0,814.0,22469.5
280,853.0,30.0,22361.5
281,853.0,67.0,24160.0
282,853.0,18.0,21877.5
283,853.0,1.0,21979.5
284,853.0,4.0,22264.0
285,853.0,813.0,22838.5
286,853.0,20.0,21751.0
287,853.0,153.0,22133.5
288,853.0,10.0,23965.5
289,853.0,13.0,21984.5
290,853.0,5.0,22954.5
291,854.0,817.0,37336.666666666664
292,854.0,3.0,29742.333333333332
293,854.0,4.0,30326.666666666668
294,854.0,30.0,29541.5
295,854.0,811.0,33518.25
296,854.0,13.0,31025.5
297,854.0,1.0,29704.4
298,854.0,16.0,32068.0
299,854.0,813.0,30517.333333333332
300,854.0,67.0,32320.0
301,854.0,5.0,31676.666666666668
302,854.0,17.0,30693.0
303,854.0,22.0,30500.0
304,854.0,24.0,35264.5
305,854.0,20.0,30542.666666666668
306,854.0,18.0,30131.666666666668
307,854.0,815.0,32077.0
308,854.0,155.0,29412.5
309,854.0,15.0,31844.333333333332
310,854.0,808.0,30639.0
311,854.0,816.0,31677.5
312,854.0,153.0,29027.666666666668
313,854.0,814.0,30234.0
314,855.0,1.0,21734.666666666668
315,855.0,16.0,21562.333333333332
316,855.0,24.0,25197.0
317,855.0,20.0,21891.666666666668
318,855.0,30.0,21372.0
319,855.0,18.0,20935.0
320,855.0,4.0,21065.666666666668
321,855.0,17.0,21548.0
322,855.0,814.0,21827.0
323,855.0,155.0,23281.0
324,855.0,5.0,21821.0
325,855.0,13.0,21209.0
326,855.0,67.0,21849.0
327,855.0,15.0,22008.333333333332
328,855.0,817.0,23268.333333333332
329,855.0,22.0,22252.0
330,855.0,3.0,20683.0
331,855.0,10.0,23388.666666666668
332,855.0,816.0,23180.0
333,855.0,811.0,24196.5
334,855.0,813.0,21142.0
335,855.0,153.0,22188.0
336,855.0,808.0,21068.0
337,855.0,815.0,23058.0
338,856.0,24.0,24005.0
339,856.0,155.0,22891.0
340,856.0,22.0,22034.5
341,856.0,814.0,21567.5
342,856.0,15.0,22646.0
343,856.0,18.0,20762.0
344,856.0,3.0,20431.5
345,856.0,811.0,21528.0
346,856.0,5.0,22310.0
347,856.0,17.0,20814.0
348,856.0,13.0,22361.0
349,856.0,808.0,21478.0
350,856.0,30.0,20238.0
351,856.0,67.0,22045.0
352,856.0,1.0,20715.0
353,856.0,4.0,20808.5
354,856.0,20.0,20077.5
355,856.0,16.0,23368.0
356,856.0,813.0,19196.0
357,856.0,815.0,21527.0
358,856.0,10.0,22507.0
359,856.0,817.0,22655.5
360,856.0,816.0,24658.5
361,856.0,153.0,22313.0
362,857.0,815.0,23732.5
363,857.0,10.0,27378.0
364,857.0,22.0,27994.5
365,857.0,15.0,29259.333333333332
366,857.0,814.0,22219.666666666668
367,857.0,808.0,24828.0
368,857.0,16.0,21700.5
369,857.0,17.0,21316.0
370,857.0,4.0,21814.0
371,857.0,1.0,23965.0
372,857.0,153.0,22970.0
373,857.0,13.0,21462.0
374,857.0,3.0,22063.5
375,857.0,18.0,21465.0
376,857.0,30.0,21187.5
377,857.0,67.0,22579.0
378,857.0,20.0,21432.0
379,857.0,5.0,22113.5
380,857.0,811.0,21933.5
381,857.0,39.0,23825.5
382,857.0,816.0,22579.5
383,857.0,817.0,32025.666666666668
