Race ID,Driver ID,position,avg laptime,Avg Pit Time
996,1,1.0,102101.60377358492,24310.0
997,1,4.0,69929.87096774194,21112.5
998,1,2.0,101000.92307692308,28982.0
999,1,1.0,82833.50746268657,18978.0
841,2,14.0,95507.0350877193,24046.0
842,2,3.0,105087.625,23241.0
843,2,12.0,105195.80357142857,22018.5
844,2,7.0,94455.43103448275,21743.75
845,2,8.0,91892.53846153848,21357.0
45,28,15.0,235988.6923076923,21357.0
846,2,8.0,101281.8051948052,26066.0
847,2,6.0,243031.6181818182,23238.5
848,2,10.0,107004.94642857143,21957.0
849,2,8.0,103783.42307692308,24575.0
851,2,19.0,101949.78260869563,23402.5
841,3,8.0,96448.90909090907,23716.0
842,3,12.0,106650.36363636365,23356.666666666668
843,3,5.0,104137.03571428572,21165.33333333333
844,3,5.0,94225.81034482758,21189.25
845,3,7.0,91885.69230769233,20192.0
846,3,11.0,102553.42105263156,25205.0
847,3,11.0,210428.4428571429,22882.0
848,3,7.0,106565.94736842104,21832.33333333333
849,3,6.0,103497.32692307692,24560.5
850,3,7.0,99255.13559322034,20456.666666666668
851,3,9.0,93546.89855072464,21128.25
852,3,6.0,119399.25,22130.5
854,3,7.0,119126.38333333332,29742.33333333333
855,3,10.0,103731.11320754715,20683.0
856,3,8.0,107928.12727272727,20431.5
857,3,6.0,91697.55,22063.5
858,3,6.0,106985.5090909091,19846.0
859,3,7.0,79329.08571428571,20715.5
860,3,12.0,98400.12068965516,23110.0
861,3,13.0,178042.94642857142,24270.0
862,3,1.0,103338.01785714286,20879.0
863,3,5.0,101165.7894736842,22339.666666666668
864,3,7.0,91319.15151515152,20252.666666666668
865,3,2.0,81630.76923076923,24874.0
866,3,6.0,79477.54285714286,21200.5
867,3,6.0,110137.28070175438,20370.0
68,38,12.0,107353.90909090907,29359.0
868,3,15.0,99397.73076923077,29359.0
69,38,13.0,97956.73076923077,18343.33333333333
869,3,10.0,82309.71641791044,18343.33333333333
70,38,12.0,79144.08571428571,20492.0
870,3,10.0,88648.36231884058,20492.0
871,3,11.0,123037.29545454546,20798.0
872,3,7.0,90844.7358490566,22100.0
873,3,5.0,123066.57627118644,29616.5
876,3,11.0,92540.63333333332,21490.0
877,3,20.0,115422.71428571428,29277.0
878,3,13.0,104299.625,21346.0
879,3,15.0,90919.31428571428,25213.5
880,3,3.0,95153.80769230767,22274.0
881,3,4.0,106237.875,21605.75
882,3,18.0,109138.47619047618,21640.0
82,38,18.0,82565.71428571429,21640.0
83,38,16.0,88554.26923076923,21504.5
883,3,9.0,101782.87719298246,21504.5
884,3,6.0,91282.0606060606,19599.33333333333
84,38,13.0,92526.2181818182,19599.33333333333
85,38,18.0,88111.88235294117,25200.0
885,3,1.0,106052.0,25200.0
86,38,13.0,132357.46341463414,21138.666666666668
886,3,5.0,79983.82857142857,21138.666666666668
887,3,1.0,107297.23076923077,25106.33333333333
87,38,17.0,80207.73529411765,25106.33333333333
88,38,15.0,104975.98039215688,20527.0
888,3,9.0,102025.53333333334,20527.0
890,3,9.0,88828.90625,22165.666666666668
891,3,4.0,114819.72727272728,23308.0
892,3,6.0,89138.69811320755,24079.0
893,3,4.0,118103.0655737705,29414.0
894,3,7.0,113098.16363636364,32922.0
895,3,8.0,99647.62264150944,21485.0
896,3,2.0,91700.16666666669,23790.0
897,3,3.0,107631.92727272728,21643.0
898,3,9.0,107433.73214285714,23806.0
