,Race ID,Driver ID,position,avg laptime
55,843.0,153.0,17.0,107747.11111111111
56,843.0,155.0,10.0,105026.76785714286
57,843.0,808.0,9.0,104921.96428571429
58,843.0,67.0,14.0,105516.01785714286
59,843.0,2.0,12.0,105195.80357142857
60,843.0,22.0,13.0,105507.41071428571
61,843.0,815.0,17.0,106098.8
62,843.0,17.0,3.0,104031.80357142857
63,843.0,5.0,16.0,106036.8
64,843.0,15.0,19.0,106439.52727272727
65,843.0,813.0,18.0,106188.41818181818
66,843.0,24.0,22.0,109113.64814814815
67,843.0,10.0,21.0,108784.37037037036
68,843.0,816.0,20.0,108224.35185185185
69,843.0,39.0,23.0,109135.35185185185
70,844.0,20.0,1.0,93406.1724137931
71,844.0,3.0,5.0,94225.81034482758
72,844.0,17.0,2.0,93558.0172413793
73,844.0,4.0,3.0,93579.87931034483
74,844.0,18.0,6.0,94430.8448275862
75,844.0,1.0,4.0,94099.8275862069
76,844.0,30.0,12.0,94879.3448275862
77,844.0,808.0,8.0,94581.4827586207
78,844.0,2.0,7.0,94455.43103448275
79,844.0,13.0,11.0,94782.43103448275
80,844.0,22.0,15.0,95288.70175438597
81,844.0,16.0,13.0,95104.0701754386
82,844.0,814.0,14.0,95705.90909090909
83,844.0,813.0,17.0,95651.84210526316
84,844.0,5.0,19.0,96810.23214285714
85,844.0,67.0,9.0,94602.62068965517
86,844.0,15.0,18.0,96208.22807017544
87,844.0,155.0,10.0,94751.36206896552
88,844.0,24.0,22.0,102357.2075471698
89,844.0,153.0,16.0,95291.40350877192
90,844.0,39.0,21.0,98667.96363636364
91,844.0,816.0,20.0,97637.51785714286
92,844.0,815.0,14.0,95104.61403508772
93,845.0,4.0,5.0,91597.78461538462
94,845.0,20.0,1.0,90050.01515151515
95,845.0,17.0,4.0,90776.77272727272
96,845.0,1.0,2.0,90059.56060606061
97,845.0,808.0,11.0,92479.23076923077
98,845.0,30.0,6.0,91872.23076923077
99,845.0,3.0,7.0,91885.69230769231
100,845.0,13.0,10.0,92440.63793103448
101,845.0,67.0,14.0,92766.75384615385
102,845.0,18.0,3.0,90590.87878787878
103,845.0,815.0,9.0,92209.30769230769
104,845.0,153.0,16.0,93028.265625
105,845.0,813.0,15.0,92770.47692307692
106,845.0,814.0,12.0,92577.0923076923
107,845.0,15.0,18.0,93925.046875
108,845.0,5.0,20.0,94524.54166666667
109,845.0,2.0,8.0,91892.53846153847
110,845.0,16.0,13.0,92666.72307692308
111,845.0,24.0,22.0,96448.07142857143
112,845.0,22.0,17.0,93061.9375
113,845.0,10.0,19.0,95668.88888888889
114,845.0,39.0,21.0,97551.32786885246
115,845.0,816.0,20.0,96110.95161290323
116,845.0,155.0,10.0,92281.89230769231
117,846.0,20.0,1.0,99722.73076923077
118,846.0,18.0,3.0,99753.21794871795
119,846.0,4.0,2.0,99737.32051282052
120,846.0,17.0,4.0,100018.89743589744
121,846.0,3.0,11.0,102553.42105263157
122,846.0,13.0,9.0,82576.28125
123,846.0,813.0,6.0,101439.21917808219
124,846.0,808.0,7.0,83704.0895522388
125,846.0,30.0,14.0,83076.625
126,846.0,1.0,6.0,100071.57692307692
127,846.0,22.0,9.0,101417.33766233767
128,846.0,814.0,12.0,102576.97368421052
129,846.0,155.0,5.0,100067.80769230769
130,846.0,16.0,7.0,101232.5974025974
131,846.0,2.0,8.0,101281.8051948052
132,846.0,67.0,10.0,101423.85714285714
133,846.0,15.0,13.0,102887.43421052632
134,846.0,153.0,12.0,84995.34848484848
135,846.0,5.0,14.0,102893.21052631579
136,846.0,10.0,20.0,84400.0
137,846.0,816.0,15.0,104241.8
138,846.0,39.0,17.0,105871.94594594595
139,846.0,24.0,16.0,104285.33333333333
