,Race ID,Driver ID,position,avg laptime,Avg Pit Time
2051,898,815,7.0,107211.42857142855,23808.0
2052,899,815,6.0,78878.18309859153,22494.0
2053,900,815,11.0,99379.40350877194,23521.33333333333
2054,902,815,3.0,105382.63157894736,24717.0
2055,903,815,9.0,105344.625,23275.0
2056,904,815,9.0,93578.10769230768,22324.5
2057,906,815,4.0,84922.68115942029,23907.0
2058,907,815,6.0,74697.49295774648,22865.0
2059,908,815,11.0,173001.0,29599.0
2060,909,815,10.0,85353.28787878787,20525.666666666668
2061,910,815,8.0,108187.63636363637,25535.0
2062,911,815,9.0,116837.47727272726,23540.5
2063,912,815,8.0,90806.67924528301,24938.0
2064,913,815,7.0,121063.88333333332,31027.25
2066,915,815,10.0,105487.0,29876.0
2067,917,815,15.0,77561.65714285715,25510.33333333333
2068,918,815,7.0,109339.61818181818,22178.0
2069,926,815,10.0,98157.77192982456,26009.0
2070,927,815,13.0,111167.94545454544,30522.0
2071,928,815,11.0,108855.12727272726,23103.66666666667
2072,929,815,8.0,101917.375,25430.5
2073,930,815,13.0,94768.16923076924,22447.0
2074,931,815,7.0,84274.78205128205,24926.0
2075,932,815,11.0,80403.92753623189,23453.0
2076,933,815,9.0,77619.77142857143,26689.0
2077,934,815,9.0,107955.50980392157,30429.0
2078,936,815,15.0,94908.3396226415,23238.0
2079,937,815,5.0,118008.93023255814,23240.0
2080,938,815,6.0,89688.1320754717,24281.0
2081,939,815,7.0,120212.36065573769,29704.0
2082,940,815,12.0,102220.73076923077,24537.0
2083,941,815,3.0,110564.94339622643,30545.0
2084,942,815,5.0,119234.21428571428,25594.0
2085,943,815,8.0,87174.38028169013,23547.0
2086,944,815,13.0,78993.3,23731.66666666667
2087,945,815,5.0,108620.49090909089,22019.0
2089,949,815,16.0,101165.57142857145,26637.0
2090,950,815,11.0,107645.96428571428,22683.66666666667
2091,951,815,9.0,107254.17307692306,31600.0
2092,952,815,7.0,93629.62121212123,22298.5
2093,953,815,3.0,92089.20512820511,25661.0
2094,954,815,10.0,79527.34782608696,23656.5
2095,955,815,3.0,109757.0,20614.0
2096,956,815,8.0,74807.52173913043,19452.25
2097,957,815,6.0,111014.84615384617,29195.0
2098,958,815,11.0,87949.68115942029,26315.0
2099,959,815,10.0,82704.51515151515,19278.33333333333
2101,961,815,8.0,88925.3396226415,24285.0
2102,962,815,8.0,115737.90163934426,30781.5
2103,963,815,6.0,105295.89285714287,25485.5
2104,964,815,7.0,99260.90566037736,23163.0
2105,965,815,8.0,107521.09090909091,23908.5
2106,966,815,10.0,86030.98591549296,22213.0
2108,968,815,8.0,108050.70909090908,21660.0
2109,969,815,7.0,90492.48214285713,22045.0
2110,970,815,9.0,106910.72727272726,20503.166666666668
2111,971,815,7.0,99929.47368421053,24481.0
2112,972,815,6.0,103375.59615384617,29868.0
2113,973,815,4.0,89011.6923076923,24094.5
2114,974,815,13.0,81069.60256410256,30608.0
2115,975,815,5.0,80366.14285714286,23229.0
2117,977,815,7.0,70245.35714285714,22030.0
2118,978,815,9.0,97838.44,28942.0
2119,979,815,8.0,86919.0579710145,24017.0
2120,980,815,11.0,117542.95238095238,26152.33333333333
2121,981,815,9.0,86935.62264150943,25377.0
2122,982,815,5.0,128084.53448275864,28125.2
2123,983,815,6.0,97855.71428571428,24314.0
2124,984,815,7.0,100426.75471698113,23634.0
2125,985,815,10.0,102432.50909090911,24326.0
2126,986,815,7.0,82881.9857142857,22715.5
2127,987,815,9.0,78250.1690140845,19368.25
2128,988,815,7.0,104474.9818181818,21869.0
2129,989,815,12.0,93450.0,22327.0
2130,990,815,20.0,99133.39285714287,24834.5
2131,991,815,12.0,103234.01785714287,22595.0
2132,992,815,3.0,122123.82352941176,27141.5
2133,993,815,9.0,89540.640625,22340.0
2134,994,815,12.0,80067.53846153848,29379.0
2135,995,815,14.0,79981.70149253731,23902.0
2136,997,815,7.0,70734.9,22863.0
2137,998,815,11.0,101624.84615384617,28743.5
2138,999,815,7.0,83289.5671641791,25130.0
2139,841,816,16.0,99528.11111111114,25852.5
2140,842,816,18.0,109482.64285714287,25334.0
2141,843,816,20.0,108224.35185185184,22851.5
2142,844,816,20.0,97637.51785714287,23808.0
2143,845,816,20.0,96110.95161290324,22622.0
2144,846,816,15.0,104241.8,27020.5
2145,847,816,15.0,213936.9855072464,24909.4
2146,848,816,22.0,110230.0,22096.5
2147,849,816,17.0,107907.62,27085.0
2148,850,816,18.0,103195.17543859649,22175.0
2149,851,816,19.0,98767.32307692307,29643.0
2150,852,816,17.0,122619.23255813956,22526.5
2151,854,816,18.0,123189.91525423726,31677.5
2152,855,816,21.0,107890.03921568627,23180.0
2153,856,816,20.0,110674.24074074074,24658.5
2154,857,816,16.0,95640.01754385963,22579.5
2155,859,816,19.0,82157.60294117648,22700.5
2156,872,816,13.0,91643.05660377357,21962.0
2157,849,817,19.0,109866.6530612245,26407.0
2158,850,817,19.0,103652.35087719296,23186.0
2159,851,817,18.0,97841.37878787877,22686.0
2160,852,817,15.0,123046.07692307694,23780.0
2162,854,817,19.0,126074.0350877193,37336.66666666666
2163,855,817,22.0,107938.98039215688,23268.33333333333
2164,856,817,19.0,110629.20370370374,22655.5
2165,857,817,18.0,96208.82456140351,32025.66666666667
2166,858,817,20.0,111759.72916666669,22442.5
2167,859,817,20.0,82464.16176470589,23188.5
2168,860,817,9.0,98088.29310344828,26641.33333333333
2169,861,817,12.0,178011.42857142858,24066.75
2170,862,817,17.0,104465.80357142855,22101.0
2171,863,817,15.0,102086.89285714287,23539.66666666667
2172,864,817,13.0,91707.18461538461,20424.666666666668
2173,865,817,14.0,82577.13846153846,25335.0
2174,866,817,14.0,80200.87142857142,21623.5
2175,867,817,12.0,110415.61403508774,21903.0
2176,868,817,14.0,99279.40384615383,25619.5
2177,869,817,13.0,82726.73134328358,18182.0
2178,870,817,15.0,89533.05882352941,20055.666666666668
2179,871,817,9.0,122988.90909090909,20673.5
2180,872,817,12.0,91161.07547169813,21720.0
2181,873,817,9.0,123253.62711864409,30390.5
2182,874,817,10.0,101946.43396226416,21730.0
2183,875,817,9.0,106553.41818181818,20477.5
2184,876,817,13.0,92613.46666666666,22637.0
2185,877,817,10.0,116111.45454545454,20676.5
2186,878,817,12.0,104288.21428571428,22651.0
